admit_source_code,admit_source_description,newborn_description
0,Anomaly,null
1,Non-Health Care Facility Point of Origin (Physician Referral),Normal delivery
2,Clinic Referral,Premature delivery
3,HMO Referral,Sick baby
4,Transfer from Hospital (different facility),Extramural birth
5,Transfer from Skilled Nursing Facility (SNF),null
6,Transfer from Another Health Care Facility,null
7,Emergency Room,null
8,Court/Law Enforcement,null
9,Information Not Available,null
A,Reserved for National Assignment,null
B,Transfer from Another Home Health Agency,null
C,Readmission to Same Home Health Agency,null
D,Transfer from hospital inpatient in the same facility resulting in a separate claim to the payer,null
E,Transfer from Ambulatory Surgical Center,null
F,Transfer from Hospice,null